TA843191N00,48500,A3,1400,WAIT,,56,0.05,1
TA843182N00,48500,A3,1400,WAIT,,56,0.27,
TA843153N00,48500,A3,1400,RUN,TAWET800,56,0.20,
TA843219N00,54600,A4,1400,WAIT,,56,0.50,
TA843209N00,54600,A4,1400,WAIT,,56,0.42,
TA843205N01,54600,A4,1400,WAIT,,52,0.05,1
TA843121N00,54600,A4,1400,WAIT,,56,2.32,
TA843053N03,65500,A4,1400,WAIT,,32,0.24,
TA843216N00,31500,A1,1800,WAIT,,56,0.08,
TA842920N00,39000,A5,1800,RUN,TASTR200,56,0.39,
TA843159N00,48500,A3,1800,WAIT,,56,1.14,1
TA843193N01,48500,A3,1800,RUN,TASTR100,54,0.55,1
TA843155N00,48500,A3,1800,RUN,TASTR700,53,0.16,
TA843189N00,48500,A3,1800,WAIT,,54,0.06,
TA843157N00,48500,A3,1800,WAIT,,56,1.19,
TA843163N00,48500,A3,1800,WAIT,,56,3.24,
TA843161N01,48500,A3,1800,WAIT,,54,2.56,
TA842934N02,48500,A3,1800,WAIT,,35,0.74,
TA843149N00,54600,A4,1800,WAIT,,56,0.25,
TA843200N00,54600,A4,1800,WAIT,,56,1.61,
TA843092N00,54600,A4,1800,WAIT,,42,5.38,
TA843202N00,54600,A4,1800,WAIT,,56,0.84,
TA843181N01,42500,A1,2200,WAIT,,54,0.83,
TA843111N00,42500,A1,2200,WAIT,,55,1.09,
TA843123N00,48500,A3,2200,WAIT,,56,0.27,
TA843141N00,48500,A3,2200,WAIT,,55,1.69,
TA843143N00,54600,A4,2200,WAIT,,56,0.23,
TA843178N00,54600,A4,2200,WAIT,,56,0.20,
TA843090N00,54600,A4,2200,WAIT,,54,0.05,
TA842963N04,65500,A4,2200,WAIT,,54,0.68,
TA843171N00,42500,A1,2200,WAIT,,56,1.82,
TA843126N00,48500,A3,2200,WAIT,,56,0.64,
TA843082N00,48500,A3,2200,WAIT,,7,4.41,
TA843098N00,48500,A3,2200,WAIT,,3,0.15,
TA843112N02,48500,A3,2200,WAIT,,4,1.91,
TA843133N00,48500,A3,2200,WAIT,,56,0.60,
TA843114N00,48500,A3,2200,WAIT,,56,1.35,
TA843130N00,54600,A4,2200,WAIT,,56,0.61,
TA843053N00,65500,A4,2200,WAIT,,51,0.49,
TA843175N00,42500,A1,1400,WAIT,,56,3.48,
TA843127N00,42500,A1,2200,WAIT,,55,2.18,
TA843139N00,48500,A3,2200,WAIT,,56,0.42,1
TA843128N00,48500,A3,2200,WAIT,,55,0.37,1
TA842948N00,42500,A1,2200,WAIT,,53,0.15,
TA843144N00,31500,A1,2200,WAIT,,47,3.60,
TA843119N00,39000,A5,2200,WAIT,,56,0.55,
